Account ,Date,Transaction Type,No.,Name,Memo/Description,Split,Amount,Balance
,22/04/2022,Transaction,,Online Sale,,Apple Account,-0.84,"757,568.24"
,22/04/2022,Transaction,,Online Sale,,EastX ****2310,-44.99,"757,523.25"
,22/04/2022,Transaction,,Online Sale,,Apple Account,-3.64,"757,519.61"
,22/04/2022,Transaction,,Online Sale,,EastX ****2310,-242.19,"757,277.42"
,22/04/2022,Transaction,,Online Sale,,EastX ****2310,-140.59,"757,136.83"
,22/04/2022,Transaction,,Online Sale,,EastX ****2310,-640.7,"756,496.13"
,22/04/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,-13.5,"756,482.63"
,22/04/2022,Transaction,,Online Sale,,EastX ****2310,-291.49,"756,191.14"
,22/04/2022,Receipt,12330,Online Sale,,Sales of Product Income:Non UK Sales,131.67,"756,322.81"
,23/04/2022,Receipt,12383,The Traditional English cases Ltd,,Sales of Product Income:Sales,214.26,"756,537.07"
,23/04/2022,Receipt,12335,Online Sale,,Sales of Product Income:Non UK Sales,180.83,"756,717.90"
,23/04/2022,Receipt,12336,Online Sale,,Sales of Product Income:Non UK Sales,62.5,"756,780.40"
,23/04/2022,Receipt,12334,Online Sale,,Sales of Product Income:Non UK Sales,131.67,"756,912.07"
,23/04/2022,Transaction,,David Austin,,EastX Bank,"-8,800.00","748,112.07"
,23/04/2022,Transaction,,Nigel Gillman,,EastX  Saver ****7829,-936,"747,176.07"
,23/04/2022,Transaction,,Online Sale,,EastX ****2310,-61.42,"747,114.65"
,23/04/2022,Transaction,,Online Sale,,Apple Account,-1.08,"747,113.57"
,23/04/2022,Transaction,,Online Sale,,EastX ****2310,-127.65,"746,985.92"
,23/04/2022,Transaction,,Online Sale,,Apple Account,-5.44,"746,980.48"
,23/04/2022,Transaction,,Online Sale,,EastX ****2310,-175.39,"746,805.09"
,23/04/2022,Transaction,,Online Sale,,Apple Account,-4.02,"746,801.07"
,26/04/2022,Receipt,12346,John Doe,,Orders in Hand/Deferred Income,"4,697.50","751,498.57"
,26/04/2022,Transaction,,Online Sale,,EastX ****2310,-229.86,"751,268.71"
,26/04/2022,Receipt,12337,Online Sale,,Sales of Product Income:Non UK Sales,165,"751,433.71"
,26/04/2022,Receipt,12338,Online Sale,,Sales of Product Income:UK Sales,82,"751,515.71"
,26/04/2022,Receipt,12339,Online Sale,,Sales of Product Income:Non UK Sales,233.33,"751,749.04"
,26/04/2022,Receipt,12340,Online Sale,,Sales of Product Income:Non UK Sales,441.67,"752,190.71"
,26/04/2022,Receipt,12341,Mark Renmant,,Sales of Product Income:UK Sales,87.12,"752,277.83"
,26/04/2022,Transaction,,John Doe,,Cash Reserve,"-4,697.50","747,580.33"
,26/04/2022,Transaction,,Online Sale,,Apple Account,-1.35,"747,578.98"
,26/04/2022,Transaction,,Online Sale,,Apple Account,-6.38,"747,572.60"
,26/04/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,"-1,000.00","746,572.60"
,26/04/2022,Transaction,,Online Sale,,Apple Account,-3.47,"746,569.13"
,26/04/2022,Transaction,,Online Sale,,EastX ****2310,-162.49,"746,406.64"
,26/04/2022,Transaction,,Diggory Haddoke,,EastX  Saver ****7829,-579.6,"745,827.04"
,26/04/2022,Transaction,,Online Sale,,Apple Account,-2.51,"745,824.53"
,26/04/2022,Transaction,,Online Sale,,EastX ****2310,-435.29,"745,389.24"
,26/04/2022,Transaction,,Online Sale,,EastX ****2310,-80.65,"745,308.59"
,26/04/2022,Transaction,,Mark Renmant,,EastX  Saver ****7829,-87.12,"745,221.47"
,26/04/2022,Receipt,12345,SHOP SALE,,Sales of Product Income:UK Sales,243,"745,464.47"
,27/04/2022,Receipt,12353,SHOP SALE,,Sales of Product Income:UK Sales,"1,000.00","746,464.47"
,27/04/2022,Receipt,12355,"Calabi, Silvio",,Sales of Product Income:Non UK Sales,200,"746,664.47"
,27/04/2022,Receipt,12354,David Austin,,-Split-,380,"747,044.47"
,27/04/2022,Transaction,,HH Sheikh Mohammed Al-Sharqi,,EastX Bank,"-99,988.00","647,056.47"
,27/04/2022,Transaction,,Dr Eckard Stief,,Apple Account,"-1,050.00","646,006.47"
,27/04/2022,Transaction,,Richard Kilby,,EastX  Saver ****7829,-470,"645,536.47"
,27/04/2022,Transaction,,HH Sheikh Mohammed Al-Sharqi,,Apple Account,-12,"645,524.47"
,28/04/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,-243,"645,281.47"
,29/04/2022,Receipt,12360,Outdoor Outfitters,,-Split-,100,"645,381.47"
,29/04/2022,Receipt,12357,Online Sale,,Sales of Product Income:Non UK Sales,295.83,"645,677.30"
,29/04/2022,Receipt,12367,West London SS,,Sales of Product Income:UK Sales,94.8,"645,772.10"
,29/04/2022,Receipt,12358,Michael Luke,,-Split-,"1,288.00","647,060.10"
,29/04/2022,Receipt,12365,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Sales,"1,785.00","648,845.10"
,29/04/2022,Receipt,12356,Online Sale,,Sales of Product Income:Non UK Sales,310.83,"649,155.93"
,29/04/2022,Debit Memo,12361,David Austin,,Sales of Product Income:Non UK Sales,-50,"649,105.93"
,29/04/2022,Receipt,12362,SHOP SALE,,Sales of Product Income:UK Sales,99,"649,204.93"
,29/04/2022,Receipt,12366,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Sales,"1,020.00","650,224.93"
,29/04/2022,Transaction,,Online Sale,,Apple Account,-9.21,"650,215.72"
,29/04/2022,Transaction,,David Austin,,-Split-,,"650,215.72"
,29/04/2022,Transaction,,Online Sale,,Apple Account,-4.34,"650,211.38"
,29/04/2022,Receipt,12359,Northwood Group GMBH,,-Split-,132,"650,343.38"
,30/04/2022,Receipt,12352,Armurerie Richard,,-Split-,"7,934.00","658,277.38"
,30/04/2022,Receipt,12364,Online Sale,,Sales of Product Income:UK Sales,22,"658,299.38"
,30/04/2022,Receipt,12373,Laurens  Sliepenbeek,,Orders in Hand/Deferred Income,"11,056.98","669,356.36"
,30/04/2022,Receipt,12363,HH Sheikh Mohammed Al-Sharqi,,-Split-,"61,980.00","731,336.36"
,30/04/2022,Transaction,,Online Sale,,Apple Account,-0.51,"731,335.85"
,30/04/2022,Receipt,12349,Mr R Holden,,-Split-,"81,850.00","813,185.85"
,30/04/2022,Receipt,12351,Armurerie Richard,,-Split-,"5,450.00","818,635.85"
,30/04/2022,Transaction,,Waffen Ortner,,EastX Bank,-510,"818,125.85"
,30/04/2022,Transaction,,Laurens  Sliepenbeek,,EastX Bank,"-11,056.98","807,068.87"
,30/04/2022,Receipt,12348,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,"32,625.00","839,693.87"
,1/5/2022,Transaction,,Online Sale,,EastX ****2310,-301.62,"839,392.25"
,1/5/2022,Transaction,,"Calabi, Silvio",,EastX  Saver ****7829,-200,"839,192.25"
,1/5/2022,Transaction,,Online Sale,,EastX ****2310,-21.49,"839,170.76"
,1/5/2022,Transaction,,Online Sale,,EastX ****2310,-291.49,"838,879.27"
,4/5/2022,Receipt,12371,Online Sale,,Sales of Product Income:Non UK Sales,131.67,"839,010.94"
,4/5/2022,Transaction,,Online Sale,,Apple Account,-3.05,"839,007.89"
,4/5/2022,Transaction,,Online Sale,,Apple Account,-61.78,"838,946.11"
,4/5/2022,Transaction,,Online Sale,,Apple Account,-4,"838,942.11"
,4/5/2022,Transaction,,Online Sale,,EastX ****2310,-127,"838,815.11"
,4/5/2022,Transaction,,Online Sale,,EastX ****2310,"-2,061.55","836,753.56"
,4/5/2022,Transaction,,Online Sale,,EastX ****2310,-95.28,"836,658.28"
,4/5/2022,Receipt,12369,Online Sale,,Sales of Product Income:Non UK Sales,98.33,"836,756.61"
,4/5/2022,Receipt,12374,Online Sale,,Sales of Product Income:UK Sales,131,"836,887.61"
,4/5/2022,Receipt,12372,Online Sale,,Sales of Product Income:Non UK Sales,340,"837,227.61"
,4/5/2022,Receipt,12368,Online Sale,,Sales of Product Income:UK Sales,241,"837,468.61"
,4/5/2022,Receipt,12370,Online Sale,,Sales of Product Income:Non UK Sales,"2,123.33","839,591.94"
,4/5/2022,Receipt,12375,Northwood Group UK,,Sales of Product Income:Sales,216,"839,807.94"
,4/5/2022,Receipt,12376,Joe Hudson,,-Split-,640,"840,447.94"
,4/5/2022,Transaction,,Online Sale,,Apple Account,-4.96,"840,442.98"
,4/5/2022,Transaction,,Online Sale,,Apple Account,-3.57,"840,439.41"
,4/5/2022,Transaction,,Northwood USA 1,,Apple Account,"-20,929.00","819,510.41"
,4/5/2022,Transaction,,Online Sale,,EastX ****2310,-237.43,"819,272.98"
,4/5/2022,Transaction,,Online Sale,,EastX ****2310,-127.65,"819,145.33"
,4/5/2022,Transaction,,Online Sale,,EastX ****2310,-335.04,"818,810.29"
,4/5/2022,Transaction,,Online Sale,,Apple Account,-4.02,"818,806.27"
,5/5/2022,Receipt,12379,The Traditional English cases Ltd,,Sales of Product Income:UK Sales,288,"819,094.27"
,5/5/2022,Receipt,12380,Online Sale,,Sales of Product Income:Non UK Sales,100,"819,194.27"
,5/5/2022,Receipt,12381,Online Sale,,Sales of Product Income:Non UK Sales,425,"819,619.27"
,5/5/2022,Receipt,12382,Online Sale,,Sales of Product Income:UK Sales,37,"819,656.27"
,5/5/2022,Receipt,12378,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,"1,200.00","820,856.27"
,5/5/2022,Receipt,12377,David Austin,,-Split-,130,"820,986.27"
,5/5/2022,Transaction,,Online Sale,,Apple Account,-1.6,"820,984.67"
,5/5/2022,Transaction,,Online Sale,,Apple Account,-0.72,"820,983.95"
,5/5/2022,Transaction,,Online Sale,,EastX ****2310,-418.85,"820,565.10"
,5/5/2022,Transaction,,Online Sale,,EastX ****2310,-98.4,"820,466.70"
,5/5/2022,Transaction,,Online Sale,,EastX ****2310,-36.28,"820,430.42"
,5/5/2022,Transaction,,Nelson Neto Junior,,EastX  Saver ****7829,-19.8,"820,410.62"
,5/5/2022,Transaction,,Online Sale,,Apple Account,-6.15,"820,404.47"
,6/5/2022,Receipt,12385,Ross Williamson,,-Split-,85,"820,489.47"
,6/5/2022,Transaction,,Ross Williamson,,EastX  Saver ****7829,-85,"820,404.47"
,6/5/2022,Receipt,12384,Nelson Neto Junior,,Sales of Product Income:UK Sales,19.8,"820,424.27"
,6/5/2022,Receipt,12386,Outdoor Outfitters,,-Split-,850,"821,274.27"
,7/5/2022,Transaction,,Viscount Jonathan Rothermere,,EastX Bank,"-29,100.00","792,174.27"
,8/5/2022,Receipt,12390,Online Sale,,Sales of Product Income:Non UK Sales,105.83,"792,280.10"
,8/5/2022,Receipt,12391,Online Sale,,Sales of Product Income:Non UK Sales,295.83,"792,575.93"
,8/5/2022,Receipt,12387,Mr Roger Karlsson,,Orders in Hand/Deferred Income,"4,500.00","797,075.93"
,8/5/2022,Receipt,12388,Online Sale,,Sales of Product Income:Non UK Sales,250,"797,325.93"
,8/5/2022,Receipt,12389,Online Sale,,Sales of Product Income:Non UK Sales,295.83,"797,621.76"
,8/5/2022,Transaction,,Online Sale,,EastX ****2310,-102.56,"797,519.20"
,8/5/2022,Transaction,,Online Sale,,Apple Account,-4.34,"797,514.86"
,8/5/2022,Transaction,,Online Sale,,EastX ****2310,-291.49,"797,223.37"
,8/5/2022,Transaction,,Online Sale,,Apple Account,-4.34,"797,219.03"
,8/5/2022,Transaction,,Online Sale,,Apple Account,-3.27,"797,215.76"
,8/5/2022,Transaction,,Online Sale,,Apple Account,-3.7,"797,212.06"
,8/5/2022,Transaction,,Online Sale,,EastX ****2310,-291.49,"796,920.57"
,8/5/2022,Transaction,,Online Sale,,EastX ****2310,-246.3,"796,674.27"
,8/5/2022,Transaction,,Mr Roger Karlsson,,EastX Bank,"-4,500.00","792,174.27"
,9/5/2022,Receipt,12392,Online Sale,,Sales of Product Income:Non UK Sales,65,"792,239.27"
,9/5/2022,Transaction,,Online Sale,,Apple Account,-2.09,"792,237.18"
,9/5/2022,Transaction,,Online Sale,,EastX ****2310,-62.91,"792,174.27"
,10/5/2022,Receipt,12393,Online Sale,,Sales of Product Income:Non UK Sales,125,"792,299.27"
,10/5/2022,Transaction,,Online Sale,,Apple Account,-3.83,"792,295.44"
,10/5/2022,Transaction,,Online Sale,,EastX ****2310,-121.17,"792,174.27"
,10/5/2022,Receipt,12394,Adam Kelliher,,-Split-,326,"792,500.27"
,11/5/2022,Receipt,12399,David Modesett,,Orders in Hand/Deferred Income,"60,000.00","852,500.27"
,11/5/2022,Receipt,12397,Online Sale,,Sales of Product Income:UK Sales,61,"852,561.27"
,11/5/2022,Receipt,12398,Corey Knowlton,,Orders in Hand/Deferred Income,"18,000.00","870,561.27"
,11/5/2022,Receipt,12396,Online Sale,,Sales of Product Income:Non UK Sales,141.67,"870,702.94"
,11/5/2022,Transaction,,Online Sale,,Apple Account,-2.18,"870,700.76"
,11/5/2022,Transaction,,Adam Kelliher,,EastX  Saver ****7829,-326,"870,374.76"
,11/5/2022,Transaction,,Online Sale,,EastX ****2310,-59.95,"870,314.81"
,11/5/2022,Transaction,,Online Sale,,EastX ****2310,-139.49,"870,175.32"
,11/5/2022,Transaction,,Online Sale,,Apple Account,-1.05,"870,174.27"
,12/5/2022,Receipt,12400,Sarfaraz Metlo,,-Split-,"3,650.34","873,824.61"
,12/5/2022,Receipt,12401,Online Sale,,Sales of Product Income:Non UK Sales,212.5,"874,037.11"
,12/5/2022,Transaction,,Online Sale,,Apple Account,-3.18,"874,033.93"
,12/5/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,-60,"873,973.93"
,12/5/2022,Transaction,,Online Sale,,EastX ****2310,-209.32,"873,764.61"
,13/05/2022,Receipt,12403,Brigitte Steinmaﬂl,,-Split-,195,"873,959.61"
,13/05/2022,Receipt,12402,Online Sale,,Sales of Product Income:Non UK Sales,355,"874,314.61"
,13/05/2022,Transaction,,Online Sale,,Apple Account,-5.17,"874,309.44"
,13/05/2022,Transaction,,Michael Luke,,EastX Bank,"-1,288.00","873,021.44"
,13/05/2022,Transaction,,Online Sale,,EastX ****2310,-349.83,"872,671.61"
,14/05/2022,Receipt,12405,Online Sale,,Sales of Product Income:Non UK Sales,125,"872,796.61"
,14/05/2022,Receipt,12404,Online Sale,,Sales of Product Income:Non UK Sales,310.83,"873,107.44"
,14/05/2022,Receipt,12406,Online Sale,,Sales of Product Income:Non UK Sales,310.83,"873,418.27"
,14/05/2022,Transaction,,Online Sale,,EastX ****2310,-301.62,"873,116.65"
,14/05/2022,Transaction,,Online Sale,,Apple Account,-3.83,"873,112.82"
,14/05/2022,Transaction,,Online Sale,,EastX ****2310,-301.62,"872,811.20"
,14/05/2022,Transaction,,Online Sale,,Apple Account,-9.21,"872,801.99"
,14/05/2022,Transaction,,Online Sale,,EastX ****2310,-121.17,"872,680.82"
,14/05/2022,Transaction,,Online Sale,,Apple Account,-9.21,"872,671.61"
,16/05/2022,Receipt,12407,Online Sale,,Sales of Product Income:Non UK Sales,650,"873,321.61"
,16/05/2022,Receipt,12408,Online Sale,,Sales of Product Income:Non UK Sales,135.83,"873,457.44"
,16/05/2022,Transaction,,David Modesett,,EastX Bank,"-60,000.00","813,457.44"
,16/05/2022,Transaction,,Online Sale,,EastX ****2310,-630.95,"812,826.49"
,16/05/2022,Transaction,,Online Sale,,EastX ****2310,-131.69,"812,694.80"
,16/05/2022,Transaction,,Online Sale,,Apple Account,-4.14,"812,690.66"
,16/05/2022,Transaction,,Online Sale,,Apple Account,-19.05,"812,671.61"
,18/05/2022,Receipt,12414,Mr Marc Newton,,Sales of Product Income:UK Sales,100.32,"812,771.93"
,18/05/2022,Receipt,12413,Sheikh Khalid Bin Abdullah,,-Split-,538,"813,309.93"
,18/05/2022,Receipt,12409,Online Sale,,Sales of Product Income:UK Sales,212,"813,521.93"
,18/05/2022,Receipt,12416,Mr Marc Newton,,Sales of Product Income:UK Sales,0,"813,521.93"
,18/05/2022,Receipt,12410,Online Sale,,Sales of Product Income:Non UK Sales,295.83,"813,817.76"
,18/05/2022,Receipt,12417,The Hon Charles Pearson,,Sales of Product Income:Sales,946.38,"814,764.14"
,18/05/2022,Transaction,,Online Sale,,EastX ****2310,-208.83,"814,555.31"
,18/05/2022,Receipt,12412,Morten Kristoffer Kjus,,-Split-,255,"814,810.31"
,18/05/2022,Receipt,12415,Viscount Jonathan Rothermere,,Sales of Product Income:UK Sales,0,"814,810.31"
,18/05/2022,Receipt,12395,Viscount Jonathan Rothermere,,-Split-,"1,100.00","815,910.31"
,18/05/2022,Transaction,,Online Sale,,EastX ****2310,-291.49,"815,618.82"
,18/05/2022,Transaction,,Online Sale,,Apple Account,-3.17,"815,615.65"
,18/05/2022,Transaction,,Online Sale,,Apple Account,-4.34,"815,611.31"
,18/05/2022,Receipt,12411,Northwood Group UK,,-Split-,148.5,"815,759.81"
,19/05/2022,Receipt,12422,Online Sale,,Sales of Product Income:Non UK Sales,114.17,"815,873.98"
,19/05/2022,Receipt,12420,Northwood Group Kft,,Sales of Product Income:Non UK Sales,650,"816,523.98"
,19/05/2022,Receipt,12419,Armurerie Collard,,Sales of Product Income:Non UK Sales,650,"817,173.98"
,19/05/2022,Receipt,12423,Tamas,,Sales of Product Income:UK Sales,570.65,"817,744.63"
,19/05/2022,Transaction,,Tamas,,EastX  Saver ****7829,-570.65,"817,173.98"
,19/05/2022,Transaction,,Online Sale,,EastX ****2310,-112.37,"817,061.61"
,19/05/2022,Transaction,,Online Sale,,EastX ****2310,-253.2,"816,808.41"
,19/05/2022,Transaction,,Online Sale,,Apple Account,-1.8,"816,806.61"
,19/05/2022,Transaction,,Online Sale,,Apple Account,-3.8,"816,802.81"
,19/05/2022,Receipt,12421,Online Sale,,Sales of Product Income:UK Sales,257,"817,059.81"
,20/05/2022,Receipt,12427,Sidney Hiscox,,-Split-,"2,930.40","819,990.21"
,20/05/2022,Receipt,12426,Online Sale,,Sales of Product Income:Non UK Sales,89.17,"820,079.38"
,20/05/2022,Debit Memo,12428,Sidney Hiscox,,Sales of Product Income:UK Sales,"-2,766.00","817,313.38"
,20/05/2022,Transaction,,Online Sale,,EastX ****2310,-86.38,"817,227.00"
,20/05/2022,Transaction,,Online Sale,,Apple Account,-2.79,"817,224.21"
,20/05/2022,Transaction,,The Hon Charles Pearson,,EastX Bank,-946.38,"816,277.83"
,20/05/2022,Transaction,,Sidney Hiscox,,-Split-,,"816,277.83"
,21/05/2022,Receipt,12431,Online Sale,,Sales of Product Income:Non UK Sales,240,"816,517.83"
,21/05/2022,Receipt,12432,Online Sale,,Sales of Product Income:UK Sales,61,"816,578.83"
,21/05/2022,Receipt,12433,Armurerie Vouzelaud,,Sales of Product Income:Non UK Sales,"9,550.00","826,128.83"
,21/05/2022,Transaction,,Online Sale,,Apple Account,-7.16,"826,121.67"
,21/05/2022,Transaction,,Online Sale,,EastX ****2310,-232.84,"825,888.83"
,21/05/2022,Transaction,,Online Sale,,EastX ****2310,-59.95,"825,828.88"
,21/05/2022,Transaction,,Online Sale,,Apple Account,-1.05,"825,827.83"
,21/05/2022,Transaction,,Morten Kristoffer Kjus,,EastX Bank,-255,"825,572.83"
,24/05/2022,Transaction,,Northwood Group Kft,,EastX Bank,"-7,926.00","817,646.83"
,24/05/2022,Transaction,,Online Sale,,Apple Account,-0.93,"817,645.90"
,24/05/2022,Transaction,,Online Sale,,Apple Account,-2.36,"817,643.54"
,24/05/2022,Transaction,,Online Sale,,EastX ****2310,-315.32,"817,328.22"
,24/05/2022,Receipt,12434,Online Sale,,Sales of Product Income:Non UK Sales,154.17,"817,482.39"
,24/05/2022,Receipt,12436,Online Sale,,Sales of Product Income:Non UK Sales,295.83,"817,778.22"
,24/05/2022,Receipt,12435,Online Sale,,Sales of Product Income:Non UK Sales,320,"818,098.22"
,24/05/2022,Receipt,12442,Glenn Kendall,,Orders in Hand/Deferred Income,"35,000.00","853,098.22"
,24/05/2022,Receipt,12438,Online Sale,,Sales of Product Income:Non UK Sales,540,"853,638.22"
,24/05/2022,Receipt,12440,Online Sale,,Sales of Product Income:UK Sales,52,"853,690.22"
,24/05/2022,Receipt,12439,Online Sale,,Sales of Product Income:Non UK Sales,45.83,"853,736.05"
,24/05/2022,Transaction,,Online Sale,,Apple Account,-4.34,"853,731.71"
,24/05/2022,Receipt,12443,HH Sheikh Mohammed Al-Sharqi,,-Split-,"100,000.00","953,731.71"
,24/05/2022,Receipt,12441,Northwood Group UK,,Sales of Product Income:Sales,162,"953,893.71"
,24/05/2022,Receipt,12437,Online Sale,,Sales of Product Income:Non UK Sales,"1,065.83","954,959.54"
,24/05/2022,Transaction,,Online Sale,,EastX ****2310,"-1,034.72","953,924.82"
,24/05/2022,Transaction,,Online Sale,,EastX ****2310,-44.99,"953,879.83"
,24/05/2022,Transaction,,Online Sale,,EastX ****2310,-532.24,"953,347.59"
,24/05/2022,Transaction,,Online Sale,,Apple Account,-7.76,"953,339.83"
,24/05/2022,Transaction,,Online Sale,,EastX ****2310,-151.81,"953,188.02"
,24/05/2022,Transaction,,Online Sale,,Apple Account,-0.84,"953,187.18"
,24/05/2022,Transaction,,Online Sale,,Apple Account,-4.68,"953,182.50"
,24/05/2022,Transaction,,Online Sale,,Apple Account,-31.11,"953,151.39"
,24/05/2022,Transaction,,Online Sale,,EastX ****2310,-291.49,"952,859.90"
,24/05/2022,Transaction,,Online Sale,,EastX ****2310,-51.07,"952,808.83"
,25/05/2022,Transaction,,Brigitte Steinmaﬂl,,EastX Bank,-195,"952,613.83"
,25/05/2022,Receipt,12444,David Modesett,,-Split-,"90,000.00","1,042,613.83"
,26/05/2022,Transaction,,HH Sheikh Mohammed Al-Sharqi,,Apple Account,-12,"1,042,601.83"
,26/05/2022,Transaction,,West London SS,,EastX Bank,-94.8,"1,042,507.03"
,26/05/2022,Transaction,,HH Sheikh Mohammed Al-Sharqi,,EastX Bank,"-99,988.00","942,519.03"
,27/05/2022,Transaction,,Online Sale,,Apple Account,-1.47,"942,517.56"
,27/05/2022,Transaction,,Viscount Jonathan Rothermere,,EastX Bank,"-1,100.00","941,417.56"
,27/05/2022,Transaction,,Lee Butler Gun & Rifle Makers,,EastX Bank,-600,"940,817.56"
,27/05/2022,Receipt,12445,SHOP SALE,,Sales of Product Income:UK Sales,0,"940,817.56"
,27/05/2022,Receipt,12447,Vance Daigle,,Sales of Product Income:Non UK Sales,"4,980.00","945,797.56"
,27/05/2022,Receipt,12448,Online Sale,,Sales of Product Income:Non UK Sales,90.83,"945,888.39"
,27/05/2022,Receipt,12446,SHOP SALE,,Sales of Product Income:UK Sales,325,"946,213.39"
,28/05/2022,Transaction,,David Austin,,-Split-,,"946,213.39"
,28/05/2022,Transaction,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,0,"946,213.39"
,28/05/2022,Debit Memo,12450,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,"-15,315.00","930,898.39"
,28/05/2022,Transaction,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"930,898.39"
,28/05/2022,Receipt,12451,Sheikh Salman Bin Ebrahim Al-Khalifa,,Sales of Product Income:UK Sales,"18,378.00","949,276.39"
,28/05/2022,Receipt,12449,Thomas Hill,,Orders in Hand/Deferred Income,"10,000.00","959,276.39"
,28/05/2022,Transaction,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,0,"959,276.39"
,28/05/2022,Debit Memo,CN whisky,David Austin,,Sales of Product Income:Non UK Sales,-180,"959,096.39"
,30/05/2022,Receipt,12453,Online Sale,,Sales of Product Income:Non UK Sales,212.5,"959,308.89"
,30/05/2022,Receipt,12452,Online Sale,,Sales of Product Income:Non UK Sales,60.83,"959,369.72"
,30/05/2022,Transaction,,Online Sale,,Apple Account,-1.96,"959,367.76"
,30/05/2022,Transaction,,Online Sale,,Apple Account,-3.18,"959,364.58"
,31/05/2022,Receipt,12461,Vance Daigle,,-Split-,"18,765.00","978,129.58"
,31/05/2022,Receipt,12424,Northwood Group Norway AS,,-Split-,"10,190.80","988,320.38"
,31/05/2022,Receipt,12455,Jillo Waddington,,Sales of Product Income:Sales,"13,000.00","1,001,320.38"
,31/05/2022,Receipt,12429,Armurerie Nouvelle,,Sales of Product Income:Non UK Sales,"29,441.70","1,030,762.08"
,31/05/2022,Receipt,12425,Armurerie Richard,,-Split-,"8,450.00","1,039,212.08"
,31/05/2022,Transaction,,Northwood USA 1,,Apple Account,"-10,694.37","1,028,517.71"
,31/05/2022,Receipt,12350,Armurerie Richard,,-Split-,"11,370.00","1,039,887.71"
,1/6/2022,Receipt,12454,Armurerie Richard,,Sales of Product Income:Non UK Sales,150,"1,040,037.71"
,2/6/2022,Receipt,12458,SHOP SALE,,Sales of Product Income:UK Sales,0,"1,040,037.71"
,2/6/2022,Receipt,12456,Online Sale,,Sales of Product Income:Non UK Sales,244.17,"1,040,281.88"
,2/6/2022,Receipt,12457,Gut Grambow SonySports GmbH,,-Split-,"3,902.00","1,044,183.88"
,2/6/2022,Receipt,12459,SHOP SALE,,-Split-,184.52,"1,044,368.40"
,2/6/2022,Transaction,,Online Sale,,EastX ****2310,-89.36,"1,044,279.04"
,2/6/2022,Transaction,,Sidney Hiscox,,EastX Bank,"-2,930.40","1,041,348.64"
,2/6/2022,Transaction,,Online Sale,,EastX ****2310,-58.87,"1,041,289.77"
,2/6/2022,Transaction,,Sheikh Khalid Bin Abdullah,,EastX  Saver ****7829,-538,"1,040,751.77"
,2/6/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,-325,"1,040,426.77"
,2/6/2022,Transaction,,Online Sale,,EastX ****2310,-236.89,"1,040,189.88"
,2/6/2022,Transaction,,Online Sale,,Apple Account,-7.28,"1,040,182.60"
,2/6/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,-184.52,"1,039,998.08"
,3/6/2022,Receipt,12460,Online Sale,,Sales of Product Income:Non UK Sales,100,"1,040,098.08"
,3/6/2022,Transaction,,Online Sale,,EastX ****2310,-98.4,"1,039,999.68"
,3/6/2022,Transaction,,Online Sale,,EastX ****2310,-209.32,"1,039,790.36"
,3/6/2022,Transaction,,Online Sale,,Apple Account,-1.6,"1,039,788.76"
,3/6/2022,Transaction,,Armurerie Vouzelaud,,EastX Bank,"-9,550.00","1,030,238.76"
,3/6/2022,Transaction,,David Modesett,,EastX Bank,"-90,000.00","940,238.76"
,4/6/2022,Receipt,12463,Online Sale,,Sales of Product Income:UK Sales,27,"940,265.76"
,4/6/2022,Transaction,,Online Sale,,Apple Account,-3.92,"940,261.84"
,4/6/2022,Receipt,12462,Online Sale,,Sales of Product Income:UK Sales,260,"940,521.84"
,4/6/2022,Receipt,12465,Online Sale,,Sales of Product Income:Non UK Sales,128.33,"940,650.17"
,4/6/2022,Transaction,,Online Sale,,EastX ****2310,-176.46,"940,473.71"
,4/6/2022,Transaction,,Online Sale,,EastX ****2310,-256.16,"940,217.55"
,4/6/2022,Transaction,,Thomas Hill,,Apple Account,-12,"940,205.55"
,4/6/2022,Transaction,,Online Sale,,EastX ****2310,-124.41,"940,081.14"
,4/6/2022,Transaction,,Online Sale,,Apple Account,-2.71,"940,078.43"
,4/6/2022,Transaction,,Online Sale,,Apple Account,-0.58,"940,077.85"
,4/6/2022,Transaction,,Thomas Hill,,EastX Bank,"-9,988.00","930,089.85"
,4/6/2022,Transaction,,Online Sale,,Apple Account,-3.84,"930,086.01"
,4/6/2022,Transaction,,Online Sale,,EastX ****2310,-26.42,"930,059.59"
,4/6/2022,Transaction,,Don Alberto Bailleres Gonzalez,,EastX Bank,"-12,800.00","917,259.59"
,4/6/2022,Receipt,12464,Online Sale,,Sales of Product Income:Non UK Sales,179.17,"917,438.76"
